date,ninsee,no2,o3,pm10
01/04/2018,0,41,40,25
01/04/2018,75,39,34,23
01/04/2018,77,32,42,25
01/04/2018,78,21,40,20
01/04/2018,91,25,40,23
01/04/2018,92,28,37,23
01/04/2018,93,40,34,25
01/04/2018,94,32,36,25
01/04/2018,95,41,36,23
01/04/2018,75101,30,33,22
01/04/2018,75102,32,33,22
01/04/2018,75103,32,33,22
01/04/2018,75104,31,33,22
01/04/2018,75105,30,33,22
01/04/2018,75106,30,33,22
01/04/2018,75107,30,33,22
01/04/2018,75108,30,33,22
01/04/2018,75109,31,33,22
01/04/2018,75110,34,33,22
01/04/2018,75111,34,33,22
01/04/2018,75112,33,33,24
01/04/2018,75113,30,33,22
01/04/2018,75114,29,34,22
01/04/2018,75115,29,35,22
01/04/2018,75116,29,35,20
01/04/2018,75117,30,33,22
01/04/2018,75118,35,34,22
01/04/2018,75119,39,33,22
01/04/2018,75120,36,33,22
01/04/2018,77001,7,42,15
01/04/2018,77002,14,35,24
01/04/2018,77003,7,42,15
01/04/2018,77004,15,37,20
01/04/2018,77005,27,32,29
01/04/2018,77006,10,41,15
01/04/2018,77007,15,36,20
01/04/2018,77008,14,35,25
01/04/2018,77009,8,43,14
01/04/2018,77010,14,38,22
01/04/2018,77011,8,43,15
01/04/2018,77012,11,36,24
01/04/2018,77013,14,35,24
01/04/2018,77014,8,42,15
01/04/2018,77015,10,36,19
01/04/2018,77016,7,43,15
01/04/2018,77018,22,33,25
01/04/2018,77019,11,41,19
01/04/2018,77020,13,36,24
01/04/2018,77021,10,42,17
01/04/2018,77022,11,40,15
01/04/2018,77023,17,34,27
01/04/2018,77024,11,35,24
01/04/2018,77025,11,40,19
01/04/2018,77026,11,36,22
01/04/2018,77027,10,42,14
01/04/2018,77028,14,35,24
01/04/2018,77029,15,36,20
01/04/2018,77030,11,35,24
01/04/2018,77031,15,36,22
01/04/2018,77032,12,36,24
01/04/2018,77033,11,36,24
01/04/2018,77034,14,38,19
01/04/2018,77035,10,43,17
01/04/2018,77036,12,36,24
01/04/2018,77037,12,40,17
01/04/2018,77038,16,39,17
01/04/2018,77039,17,39,19
01/04/2018,77040,17,39,19
01/04/2018,77041,8,41,15
01/04/2018,77042,14,35,24
01/04/2018,77043,11,35,24
01/04/2018,77044,14,38,19
01/04/2018,77045,8,43,15
01/04/2018,77046,8,41,15
01/04/2018,77047,18,34,25
01/04/2018,77048,5,43,15
01/04/2018,77049,17,34,27
01/04/2018,77050,10,43,14
01/04/2018,77051,11,38,19
01/04/2018,77052,13,38,19
01/04/2018,77053,21,36,22
01/04/2018,77054,9,43,17
01/04/2018,77055,29,31,27
01/04/2018,77056,7,42,15
01/04/2018,77057,11,35,24
01/04/2018,77058,29,33,25
01/04/2018,77059,30,32,25
01/04/2018,77060,8,41,15
01/04/2018,77061,9,43,17
01/04/2018,77062,26,31,27
01/04/2018,77063,15,34,24
01/04/2018,77065,13,40,17
01/04/2018,77066,11,36,24
01/04/2018,77067,18,38,19
01/04/2018,77068,11,38,19
01/04/2018,77069,12,40,17
01/04/2018,77070,14,35,24
01/04/2018,77071,9,43,15
01/04/2018,77072,11,36,22
01/04/2018,77073,11,37,20
01/04/2018,77075,24,32,27
01/04/2018,77076,11,38,20
01/04/2018,77077,18,34,27
01/04/2018,77078,12,35,24
01/04/2018,77079,8,42,17
01/04/2018,77080,11,36,24
01/04/2018,77081,17,37,20
01/04/2018,77082,15,38,20
01/04/2018,77083,30,32,25
01/04/2018,77084,14,34,25
01/04/2018,77085,26,32,25
01/04/2018,77086,13,39,19
01/04/2018,77087,14,36,22
01/04/2018,77088,7,42,15
01/04/2018,77089,12,40,19
01/04/2018,77090,11,38,20
01/04/2018,77091,19,34,22
01/04/2018,77093,11,35,24
01/04/2018,77094,23,33,29
01/04/2018,77095,24,33,29
01/04/2018,77096,13,40,17
01/04/2018,77097,12,35,24
01/04/2018,77098,12,38,20
01/04/2018,77099,10,43,15
01/04/2018,77100,12,40,19
01/04/2018,77101,10,41,19
01/04/2018,77102,6,43,15
01/04/2018,77103,13,38,19
01/04/2018,77104,19,35,22
01/04/2018,77106,13,35,24
01/04/2018,77107,17,36,22
01/04/2018,77108,29,32,27
01/04/2018,77109,12,37,22
01/04/2018,77110,9,43,15
01/04/2018,77111,24,33,27
01/04/2018,77112,6,43,15
01/04/2018,77113,13,36,24
01/04/2018,77114,22,35,22
01/04/2018,77115,9,43,15
01/04/2018,77116,13,35,24
01/04/2018,77117,11,35,24
01/04/2018,77118,27,32,29
01/04/2018,77119,14,37,20
01/04/2018,77120,11,35,24
01/04/2018,77121,29,32,24
01/04/2018,77122,20,37,22
01/04/2018,77123,27,31,29
01/04/2018,77124,27,32,25
01/04/2018,77125,21,33,27
01/04/2018,77126,14,34,25
01/04/2018,77127,19,35,22
01/04/2018,77128,20,33,25
01/04/2018,77129,10,35,24
01/04/2018,77130,17,34,25
01/04/2018,77131,14,35,24
01/04/2018,77132,23,33,27
01/04/2018,77133,10,42,17
01/04/2018,77134,11,36,22
01/04/2018,77135,14,37,22
01/04/2018,77136,19,35,22
01/04/2018,77137,11,36,24
01/04/2018,77138,15,36,22
01/04/2018,77139,29,31,27
01/04/2018,77140,10,40,19
01/04/2018,77141,20,33,25
01/04/2018,77142,19,34,25
01/04/2018,77143,18,34,27
01/04/2018,77144,17,35,24
01/04/2018,77145,16,38,20
01/04/2018,77146,29,32,24
01/04/2018,77147,14,38,22
01/04/2018,77148,10,35,24
01/04/2018,77149,12,37,22
01/04/2018,77150,21,34,29
01/04/2018,77151,13,36,24
01/04/2018,77152,15,39,17
01/04/2018,77153,25,33,29
01/04/2018,77154,18,34,24
01/04/2018,77155,26,32,27
01/04/2018,77156,6,43,15
01/04/2018,77157,11,35,24
01/04/2018,77158,9,43,17
01/04/2018,77159,11,39,19
01/04/2018,77161,8,43,17
01/04/2018,77162,13,35,24
01/04/2018,77163,16,34,27
01/04/2018,77164,11,41,19
01/04/2018,77165,12,40,19
01/04/2018,77166,8,43,15
01/04/2018,77167,11,40,19
01/04/2018,77168,10,43,15
01/04/2018,77169,29,32,24
01/04/2018,77170,6,43,15
01/04/2018,77171,21,33,27
01/04/2018,77172,9,43,17
01/04/2018,77173,16,34,27
01/04/2018,77174,11,38,20
01/04/2018,77175,20,37,22
01/04/2018,77176,15,35,24
01/04/2018,77177,24,34,24
01/04/2018,77178,6,43,15
01/04/2018,77179,11,40,17
01/04/2018,77180,23,35,22
01/04/2018,77181,27,32,24
01/04/2018,77182,11,35,24
01/04/2018,77183,12,35,24
01/04/2018,77184,8,43,17
01/04/2018,77185,12,40,17
01/04/2018,77186,13,43,17
01/04/2018,77187,10,36,20
01/04/2018,77188,12,40,17
01/04/2018,77190,12,39,19
01/04/2018,77191,13,40,19
01/04/2018,77192,17,35,22
01/04/2018,77193,18,34,27
01/04/2018,77194,10,42,17
01/04/2018,77195,15,38,19
01/04/2018,77196,25,32,29
01/04/2018,77197,12,36,24
01/04/2018,77198,7,42,15
01/04/2018,77199,17,34,27
01/04/2018,77200,7,42,15
01/04/2018,77201,14,37,22
01/04/2018,77202,6,43,15
01/04/2018,77203,16,34,27
01/04/2018,77204,10,35,24
01/04/2018,77205,19,34,27
01/04/2018,77206,14,34,24
01/04/2018,77207,9,43,14
01/04/2018,77208,11,37,20
01/04/2018,77209,28,32,25
01/04/2018,77210,9,43,17
01/04/2018,77211,14,38,20
01/04/2018,77212,10,41,19
01/04/2018,77214,26,31,29
01/04/2018,77215,23,34,24
01/04/2018,77216,5,43,15
01/04/2018,77217,20,36,22
01/04/2018,77218,11,37,20
01/04/2018,77219,17,34,24
01/04/2018,77220,7,42,15
01/04/2018,77221,27,32,25
01/04/2018,77222,16,37,20
01/04/2018,77223,11,40,19
01/04/2018,77224,16,34,24
01/04/2018,77225,15,34,25
01/04/2018,77226,10,41,17
01/04/2018,77227,11,37,20
01/04/2018,77228,11,35,24
01/04/2018,77229,19,34,24
01/04/2018,77230,7,42,15
01/04/2018,77231,14,34,25
01/04/2018,77232,21,33,27
01/04/2018,77233,21,33,29
01/04/2018,77234,25,33,27
01/04/2018,77235,13,35,25
01/04/2018,77236,11,38,20
01/04/2018,77237,24,33,25
01/04/2018,77238,14,35,24
01/04/2018,77239,14,37,24
01/04/2018,77240,12,35,24
01/04/2018,77241,25,33,29
01/04/2018,77242,11,38,20
01/04/2018,77243,28,32,25
01/04/2018,77244,6,43,15
01/04/2018,77245,11,41,19
01/04/2018,77246,11,36,22
01/04/2018,77247,11,35,24
01/04/2018,77248,23,33,27
01/04/2018,77249,24,34,24
01/04/2018,77250,11,36,24
01/04/2018,77251,21,38,20
01/04/2018,77252,18,37,20
01/04/2018,77253,18,37,20
01/04/2018,77254,19,35,22
01/04/2018,77255,13,39,17
01/04/2018,77256,11,38,20
01/04/2018,77257,12,35,25
01/04/2018,77258,31,32,25
01/04/2018,77259,26,33,27
01/04/2018,77260,11,38,20
01/04/2018,77261,8,43,15
01/04/2018,77262,11,36,24
01/04/2018,77263,11,39,19
01/04/2018,77264,16,35,24
01/04/2018,77265,11,35,24
01/04/2018,77266,10,41,17
01/04/2018,77267,7,43,15
01/04/2018,77268,22,33,25
01/04/2018,77269,16,38,19
01/04/2018,77270,15,34,25
01/04/2018,77271,8,43,15
01/04/2018,77272,12,38,20
01/04/2018,77273,22,34,29
01/04/2018,77274,17,34,27
01/04/2018,77275,11,36,24
01/04/2018,77276,19,33,27
01/04/2018,77277,17,35,22
01/04/2018,77278,14,35,24
01/04/2018,77279,10,43,17
01/04/2018,77280,12,35,25
01/04/2018,77281,14,34,24
01/04/2018,77282,32,32,27
01/04/2018,77283,11,35,25
01/04/2018,77284,18,34,27
01/04/2018,77285,17,38,19
01/04/2018,77286,11,39,19
01/04/2018,77287,11,35,24
01/04/2018,77288,17,38,19
01/04/2018,77289,11,36,20
01/04/2018,77290,11,35,24
01/04/2018,77291,31,32,29
01/04/2018,77292,26,32,29
01/04/2018,77293,10,42,17
01/04/2018,77294,31,31,29
01/04/2018,77295,16,38,19
01/04/2018,77296,20,38,20
01/04/2018,77297,9,43,14
01/04/2018,77298,11,39,19
01/04/2018,77299,7,43,17
01/04/2018,77300,15,34,25
01/04/2018,77301,11,36,24
01/04/2018,77302,5,43,15
01/04/2018,77303,11,35,25
01/04/2018,77304,10,35,25
01/04/2018,77305,9,42,17
01/04/2018,77306,18,38,20
01/04/2018,77307,26,32,25
01/04/2018,77308,24,34,29
01/04/2018,77309,20,34,29
01/04/2018,77310,11,39,19
01/04/2018,77311,10,40,19
01/04/2018,77312,6,43,15
01/04/2018,77313,9,43,17
01/04/2018,77314,11,35,25
01/04/2018,77315,22,33,27
01/04/2018,77316,7,43,15
01/04/2018,77317,14,38,20
01/04/2018,77318,18,34,24
01/04/2018,77319,11,37,22
01/04/2018,77320,14,35,24
01/04/2018,77321,11,39,19
01/04/2018,77322,29,33,27
01/04/2018,77323,28,33,27
01/04/2018,77325,11,38,19
01/04/2018,77326,20,38,20
01/04/2018,77327,13,38,20
01/04/2018,77328,9,41,15
01/04/2018,77329,7,43,15
01/04/2018,77330,18,34,27
01/04/2018,77331,11,35,24
01/04/2018,77332,25,33,29
01/04/2018,77333,6,43,15
01/04/2018,77335,21,33,29
01/04/2018,77336,21,34,24
01/04/2018,77337,31,32,25
01/04/2018,77338,8,43,17
01/04/2018,77339,10,41,15
01/04/2018,77340,6,43,15
01/04/2018,77341,11,37,20
01/04/2018,77342,7,43,15
01/04/2018,77343,11,35,24
01/04/2018,77344,20,34,27
01/04/2018,77345,12,35,24
01/04/2018,77347,11,38,20
01/04/2018,77348,6,43,15
01/04/2018,77349,26,33,27
01/04/2018,77350,25,33,24
01/04/2018,77352,17,36,22
01/04/2018,77353,8,43,15
01/04/2018,77354,11,41,17
01/04/2018,77355,11,38,20
01/04/2018,77356,11,36,20
01/04/2018,77357,14,37,22
01/04/2018,77358,19,34,27
01/04/2018,77359,14,40,17
01/04/2018,77360,15,35,24
01/04/2018,77361,15,35,25
01/04/2018,77363,28,31,29
01/04/2018,77364,22,33,29
01/04/2018,77365,14,35,22
01/04/2018,77366,21,33,29
01/04/2018,77367,13,34,25
01/04/2018,77368,11,37,20
01/04/2018,77369,17,34,27
01/04/2018,77370,7,43,15
01/04/2018,77371,15,34,24
01/04/2018,77372,29,31,27
01/04/2018,77373,27,33,24
01/04/2018,77374,27,33,24
01/04/2018,77376,23,32,29
