Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
29;2023-02-02;98;3;3782;327;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;50.0;43.0;2.0;;;;
29;2023-02-08;50;0;3823;475;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;36.0;14.0;0.0;;;;
35;2023-02-08;104;7;10954;1362;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;82.0;15.0;0.0;111;14;1;98
56;2023-02-09;67;1;6553;862;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;48.0;17.0;1.0;2;0;0;3
35;2023-02-12;97;9;10966;1362;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;77.0;11.0;0.0;0;0;0;0
56;2023-02-12;29;0;3347;368;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;22.0;7.0;0.0;;;;
22;2023-02-13;19;2;2572;294;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;13.0;1.0;3.0;;;;
35;2023-02-14;47;2;5538;582;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;40.0;5.0;0.0;;;;
56;2023-02-15;23;0;3357;368;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;16.0;7.0;0.0;;;;
35;2023-02-18;87;8;11003;1365;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;68.0;11.0;0.0;1;0;0;0
56;2023-02-20;57;3;6591;866;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;38.0;15.0;1.0;13;1;1;11
56;2023-02-21;55;3;6595;866;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;36.0;15.0;1.0;2;0;0;4
56;2023-02-22;33;2;3180;491;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;22.0;8.0;1.0;;;;
22;2023-02-23;28;0;2896;254;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;15.0;0.0;13.0;;;;
35;2023-02-26;49;3;5408;778;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;38.0;7.0;1.0;;;;
56;2023-02-26;28;2;3188;491;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;17.0;8.0;1.0;;;;
56;2023-02-27;28;1;3188;491;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;18.0;8.0;1.0;;;;
35;2023-03-01;53;4;5414;779;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;43.0;6.0;0.0;;;;
56;2023-03-01;21;0;3367;369;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;13.0;8.0;0.0;;;;
22;2023-03-02;13;1;2594;294;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;9.0;0.0;3.0;;;;
29;2023-03-04;44;3;3865;476;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;28.0;13.0;0.0;;;;
56;2022-04-17;108;2;2079;275;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;72.0;32.0;2.0;;;;
35;2022-04-19;496;31;7098;1056;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;347.0;112.0;6.0;14;7;2;13
56;2022-04-24;103;9;2043;369;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;79.0;15.0;0.0;;;;
29;2022-04-28;295;18;3818;546;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;203.0;68.0;6.0;29;2;3;31
56;2022-04-28;199;10;4299;665;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;150.0;37.0;2.0;16;0;1;18
29;2022-05-01;132;6;1931;217;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;96.0;28.0;2.0;;;;
35;2022-05-02;181;19;3632;607;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;120.0;42.0;0.0;;;;
35;2022-05-04;171;18;3651;612;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;115.0;37.0;1.0;;;;
29;2022-05-09;253;11;4037;568;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;181.0;56.0;5.0;21;1;1;14
35;2022-05-10;169;19;3699;614;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;113.0;36.0;1.0;;;;
29;2022-05-13;117;10;2022;342;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;76.0;29.0;2.0;;;;
35;2020-09-15;51;6;538;90;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;6;2;0;10
35;2020-09-15;28;3;300;46;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;;;;;;;
35;2020-09-16;57;6;539;91;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;8;1;1;1
56;2020-09-17;23;0;212;37;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
29;2020-09-18;13;2;113;28;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;;;;;;;
35;2020-09-18;66;4;548;92;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;10;0;1;4
29;2020-09-22;11;1;116;29;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;;;;;;;
56;2020-09-22;34;0;214;37;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
35;2020-09-23;71;6;567;95;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;6;2;0;4
56;2020-09-23;68;2;459;97;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;;;;10;1;0;0
56;2020-09-23;38;0;214;37;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
35;2020-09-24;76;8;569;96;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;8;3;1;3
22;2020-09-27;6;1;114;26;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;;;;;;;
22;2020-04-29;27;2;65;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;;;;;;;
35;2020-04-29;150;15;274;70;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;4;0;0;5
22;2020-05-01;25;2;69;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;;;;;;;
56;2020-05-05;56;3;134;32;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
22;2020-05-11;24;3;74;17;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;;;;;;;
22;2020-05-15;53;4;158;30;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;;;;2;0;0;3
29;2020-05-15;18;3;89;26;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;;;;;;;
29;2020-05-21;13;2;92;27;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;;;;;;;
56;2020-05-21;26;3;173;34;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
35;2020-05-22;44;2;164;39;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;;;;;;;
56;2020-04-20;70;21;129;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;;;;;;;
35;2020-04-23;171;22;235;66;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;8;0;3;6
56;2020-05-01;57;1;128;31;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;;;;;;;
35;2020-05-06;130;10;304;76;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;2;0;1;3
22;2020-05-20;24;2;81;18;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;;;;;;;
35;2020-06-26;20;1;197;41;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;;;;;;;
56;2020-05-25;66;11;373;88;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;;;;3;0;1;1
29;2020-05-29;14;0;65;15;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;;;;;;;
35;2020-06-01;39;4;231;45;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;;;;;;;
22;2020-06-11;31;4;195;36;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;;;;1;1;0;3
35;2020-06-11;58;3;438;86;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;;;;2;0;0;5
35;2020-06-11;34;2;245;45;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;;;;;;;
56;2020-06-12;43;3;404;91;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;;;;0;0;1;2
29;2020-06-17;8;0;70;15;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;;;;;;;
56;2020-06-18;23;2;218;55;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;;;;;;;
