ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
12.0;75;UGC GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;11;1666;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;OUI;36694.0;Paris;10706072.0;11.0;5033.0;81917.0;412142.0;-80.124083447;NON;79.0;44.0;39.0;37.9872309777;46.4592209187;13.9653551766;1.58819292699;37.0;30.101331214;29.1111735049;48.873073,2.298394
31.0;75;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;4;1610;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;36694.0;Paris;10706072.0;31.0;3360.0;75648.0;202673.0;-62.6748506214;NON;80.0;47.0;39.0;41.1359250069;35.9746346843;19.1632202923;3.72622001654;43.0;57.619047619;52.794320375;48.872265,2.300938
35.0;75;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;01-Paris;3;589;De 40 à 50 000 entrées;CINELBA;;A;RD;FIXE;NON;36694.0;Paris;10706072.0;29.0;2389.0;45293.0;118069.0;-61.6385334;OUI;102.0;43.0;28.0;61.0315761306;3.96485594505;19.5945945946;15.4089733298;76.0;82.7961490163;81.26839711;48.872431,2.299525
54.0;75;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;6;1597;De 80 à 100 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;36694.0;Paris;10706072.0;31.0;5341.0;80996.0;277795.0;-70.8432477186;NON;99.0;65.0;61.0;24.273703699;59.3616454685;14.7110665872;1.6535842453;24.0;23.6098108968;22.0089019643;48.869654,2.306873
55.0;75;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;01-Paris;3;448;De 10 à 20 000 entrées;STUDIO DU DRAGON;;A;RD;FIXE;NON;36694.0;Paris;10706072.0;29.0;2742.0;19379.0;49579.0;-60.9128865044;OUI;75.0;59.0;53.0;48.8284770201;5.61730249324;26.3642735556;19.189946931;61.0;88.6579139314;87.6289175929;48.870512,2.303157
204.0;75;UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;01-Paris;4;760;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;59408.0;Paris;10706072.0;31.0;3422.0;55232.0;178752.0;-69.1013247404;NON;64.0;41.0;41.0;47.1646871379;42.3015643105;10.4921060255;0.0416425260718;33.0;49.2109877265;53.3422653534;48.871332,2.335302
301.0;75;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;01-Paris;1;591;De 30 à 40 000 entrées;PARAFRANCE COMMUNICATION;;A;;FIXE;NON;59408.0;Paris;10706072.0;31.0;852.0;37409.0;123832.0;-69.7905226436;OUI;80.0;12.0;8.0;6.97058737963;49.983999069;35.5860704623;7.45934308905;64.0;50.8215962441;53.6729409711;48.871363,2.344886
311.0;75;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;01-Paris;7;4274;De 100 à 150 000 entrées;THEATRE LE REX;UGC DIFFUSION;NON;;FIXE;NON;20796.0;Paris;10706072.0;29.0;5026.0;148381.0;737247.0;-79.8736380073;NON;246.0;56.0;52.0;16.3504517035;55.8599921678;17.0884366602;10.7011194685;81.0;12.8332670115;16.4706358959;48.86872,2.347608
321.0;75;PATHE;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;01-Paris;6;1138;De 100 à 150 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;20796.0;Paris;10706072.0;31.0;5355.0;123537.0;356071.0;-65.3055149114;NON;90.0;63.0;59.0;36.7635422505;37.6660842043;22.7193300584;2.85104348686;47.0;51.4285714286;47.8891233392;48.870632,2.334338
451.0;75;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;01-Paris;7;1592;De 100 à 150 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;42428.0;Paris;10706072.0;31.0;6061.0;124223.0;409922.0;-69.6959421548;NON;101.0;68.0;63.0;43.5810920945;38.3219233904;15.6903015485;2.40668296659;45.0;35.1262167959;39.6422167889;48.84351,2.325646
